;DEP;REG;LIBCOM;score_competence_administratives_region;score_competence_administratives_departement
0;01;84;L'Abergement-Clémenciat;38.0;41.0
1;01;84;L'Abergement-de-Varey;33.0;35.0
2;01;84;Ambérieu-en-Bugey;58.0;63.0
3;01;84;Ambérieux-en-Dombes;43.0;47.0
4;01;84;Ambléon;41.0;45.0
5;01;84;Ambronay;41.0;44.0
6;01;84;Ambutrix;48.0;52.0
7;01;84;Andert-et-Condon;31.0;34.0
8;01;84;Anglefort;41.0;44.0
9;01;84;Apremont;33.0;36.0
10;01;84;Aranc;25.0;27.0
11;01;84;Arandas;29.0;32.0
12;01;84;Arbent;41.0;45.0
13;01;84;Arboys en Bugey;41.0;44.0
14;01;84;Arbigny;38.0;41.0
15;01;84;Argis;28.0;30.0
16;01;84;Armix;47.0;51.0
17;01;84;Ars-sur-Formans;45.0;49.0
18;01;84;Artemare;41.0;44.0
19;01;84;Asnières-sur-Saône;30.0;32.0
20;01;84;Attignat;44.0;48.0
21;01;84;Bâgé-Dommartin;37.0;41.0
22;01;84;Bâgé-le-Châtel;53.0;58.0
23;01;84;Balan;119.0;129.0
24;01;84;Baneins;45.0;49.0
25;01;84;Beaupont;38.0;41.0
26;01;84;Beauregard;52.0;56.0
27;01;84;Bellignat;53.0;57.0
28;01;84;Béligneux;47.0;51.0
29;01;84;Bellegarde-sur-Valserine;50.0;54.0
30;01;84;Belley;46.0;50.0
31;01;84;Belleydoux;33.0;36.0
32;01;84;Belmont-Luthézieu;36.0;39.0
33;01;84;Bénonces;34.0;37.0
34;01;84;Bény;39.0;42.0
35;01;84;Béon;38.0;42.0
36;01;84;Béréziat;38.0;41.0
37;01;84;Bettant;44.0;47.0
38;01;84;Bey;38.0;41.0
39;01;84;Beynost;47.0;51.0
40;01;84;Billiat;48.0;52.0
41;01;84;Birieux;40.0;44.0
42;01;84;Biziat;39.0;42.0
43;01;84;Blyes;46.0;50.0
44;01;84;La Boisse;47.0;51.0
45;01;84;Boissey;37.0;40.0
46;01;84;Bolozon;25.0;28.0
47;01;84;Bouligneux;40.0;43.0
48;01;84;Bourg-en-Bresse;61.0;66.0
49;01;84;Bourg-Saint-Christophe;39.0;42.0
50;01;84;Boyeux-Saint-Jérôme;29.0;32.0
51;01;84;Boz;43.0;47.0
52;01;84;Brégnier-Cordon;40.0;44.0
53;01;84;Brénaz;48.0;53.0
54;01;84;Brénod;46.0;50.0
55;01;84;Brens;40.0;43.0
56;01;84;Bressolles;45.0;49.0
57;01;84;Brion;36.0;39.0
58;01;84;Briord;48.0;52.0
59;01;84;Buellas;42.0;46.0
60;01;84;La Burbanche;40.0;43.0
61;01;84;Ceignes;39.0;42.0
62;01;84;Cerdon;38.0;42.0
63;01;84;Certines;48.0;52.0
64;01;84;Cessy;47.0;51.0
65;01;84;Ceyzériat;40.0;43.0
66;01;84;Ceyzérieu;31.0;34.0
67;01;84;Chalamont;44.0;48.0
68;01;84;Chaleins;50.0;55.0
69;01;84;Chaley;33.0;35.0
70;01;84;Challes-la-Montagne;29.0;32.0
71;01;84;Challex;41.0;44.0
72;01;84;Champagne-en-Valromey;32.0;35.0
73;01;84;Champdor-Corcelles;36.0;39.0
74;01;84;Champfromier;42.0;46.0
75;01;84;Chanay;58.0;63.0
76;01;84;Chaneins;44.0;47.0
77;01;84;Chanoz-Châtenay;42.0;45.0
78;01;84;La Chapelle-du-Châtelard;34.0;37.0
79;01;84;Charix;43.0;46.0
80;01;84;Charnoz-sur-Ain;47.0;52.0
81;01;84;Château-Gaillard;45.0;48.0
82;01;84;Châtenay;36.0;39.0
83;01;84;Châtillon-en-Michaille;47.0;52.0
84;01;84;Châtillon-la-Palud;37.0;41.0
85;01;84;Châtillon-sur-Chalaronne;45.0;49.0
86;01;84;Chavannes-sur-Reyssouze;36.0;39.0
87;01;84;Nivigne et Suran;42.0;46.0
88;01;84;Chaveyriat;44.0;48.0
89;01;84;Chavornay;38.0;41.0
90;01;84;Chazey-Bons;41.0;45.0
91;01;84;Chazey-sur-Ain;42.0;46.0
92;01;84;Cheignieu-la-Balme;24.0;26.0
93;01;84;Chevillard;49.0;53.0
94;01;84;Chevroux;36.0;40.0
95;01;84;Chevry;46.0;49.0
96;01;84;Chézery-Forens;49.0;53.0
97;01;84;Civrieux;51.0;56.0
98;01;84;Cize;28.0;30.0
99;01;84;Cleyzieu;29.0;32.0
100;01;84;Coligny;36.0;39.0
101;01;84;Collonges;45.0;49.0
102;01;84;Colomieu;24.0;26.0
103;01;84;Conand;33.0;36.0
104;01;84;Condamine;39.0;43.0
105;01;84;Condeissiat;43.0;47.0
106;01;84;Confort;32.0;35.0
107;01;84;Confrançon;50.0;54.0
108;01;84;Contrevoz;36.0;39.0
109;01;84;Conzieu;33.0;35.0
110;01;84;Corbonod;34.0;37.0
111;01;84;Corlier;49.0;53.0
112;01;84;Cormaranche-en-Bugey;46.0;50.0
113;01;84;Cormoranche-sur-Saône;36.0;39.0
114;01;84;Cormoz;40.0;43.0
115;01;84;Corveissiat;44.0;48.0
116;01;84;Courmangoux;26.0;28.0
117;01;84;Courtes;50.0;54.0
118;01;84;Crans;37.0;40.0
119;01;84;Cras-sur-Reyssouze;39.0;42.0
120;01;84;Cressin-Rochefort;40.0;43.0
121;01;84;Crottet;38.0;42.0
122;01;84;Crozet;41.0;44.0
123;01;84;Cruzilles-lès-Mépillat;44.0;48.0
124;01;84;Culoz;45.0;49.0
125;01;84;Curciat-Dongalon;33.0;36.0
126;01;84;Curtafond;44.0;48.0
127;01;84;Cuzieu;41.0;44.0
128;01;84;Dagneux;51.0;55.0
129;01;84;Divonne-les-Bains;36.0;40.0
130;01;84;Dompierre-sur-Veyle;41.0;45.0
131;01;84;Dompierre-sur-Chalaronne;42.0;45.0
