;DEP;REG;nom_commune;score_acces_interface_numerique_region;score_acces_interface_numerique_departement;score_competence_administratives_region;score_competence_administratives_departement
0;1;84;L'Abergement-Clémenciat;91.0;98.0;38.0;41.0
1;1;84;L'Abergement-de-Varey;77.0;83.0;33.0;35.0
2;1;84;Ambérieu-en-Bugey;94.0;100.0;58.0;63.0
3;1;84;Ambérieux-en-Dombes;91.0;97.0;43.0;47.0
4;1;84;Ambléon;109.0;117.0;41.0;45.0
5;1;84;Ambronay;83.0;88.0;41.0;44.0
6;1;84;Ambutrix;69.0;74.0;48.0;52.0
7;1;84;Andert-et-Condon;112.0;121.0;31.0;34.0
8;1;84;Anglefort;90.0;95.0;41.0;44.0
9;1;84;Apremont;86.0;91.0;33.0;36.0
10;1;84;Aranc;126.0;135.0;25.0;27.0
11;1;84;Arandas;104.0;111.0;29.0;32.0
12;1;84;Arbent;127.0;134.0;41.0;45.0
13;1;84;Arboys en Bugey;109.0;117.0;41.0;44.0
14;1;84;Arbigny;97.0;103.0;38.0;41.0
15;1;84;Argis;116.0;124.0;28.0;30.0
16;1;84;Armix;107.0;115.0;47.0;51.0
17;1;84;Ars-sur-Formans;75.0;80.0;45.0;49.0
18;1;84;Artemare;123.0;131.0;41.0;44.0
19;1;84;Asnières-sur-Saône;100.0;106.0;30.0;32.0
20;1;84;Attignat;79.0;84.0;44.0;48.0
21;1;84;Bâgé-Dommartin;87.0;92.0;37.0;41.0
22;1;84;Bâgé-le-Châtel;132.0;141.0;53.0;58.0
23;1;84;Balan;61.0;64.0;119.0;129.0
24;1;84;Baneins;83.0;88.0;45.0;49.0
25;1;84;Beaupont;116.0;122.0;38.0;41.0
26;1;84;Beauregard;82.0;86.0;52.0;56.0
27;1;84;Bellignat;114.0;120.0;53.0;57.0
28;1;84;Béligneux;75.0;79.0;47.0;51.0
29;1;84;Bellegarde-sur-Valserine;115.0;122.0;50.0;54.0
30;1;84;Belley;123.0;130.0;46.0;50.0
31;1;84;Belleydoux;85.0;90.0;33.0;36.0
32;1;84;Belmont-Luthézieu;87.0;94.0;36.0;39.0
33;1;84;Bénonces;110.0;118.0;34.0;37.0
34;1;84;Bény;93.0;99.0;39.0;42.0
35;1;84;Béon;104.0;111.0;38.0;42.0
36;1;84;Béréziat;75.0;79.0;38.0;41.0
37;1;84;Bettant;88.0;94.0;44.0;47.0
38;1;84;Bey;79.0;84.0;38.0;41.0
39;1;84;Beynost;90.0;96.0;47.0;51.0
40;1;84;Billiat;83.0;88.0;48.0;52.0
41;1;84;Birieux;68.0;73.0;40.0;44.0
42;1;84;Biziat;79.0;83.0;39.0;42.0
43;1;84;Blyes;60.0;64.0;46.0;50.0
44;1;84;La Boisse;86.0;92.0;47.0;51.0
45;1;84;Boissey;96.0;101.0;37.0;40.0
46;1;84;Bolozon;132.0;143.0;25.0;28.0
47;1;84;Bouligneux;110.0;118.0;40.0;43.0
48;1;84;Bourg-en-Bresse;117.0;124.0;61.0;66.0
49;1;84;Bourg-Saint-Christophe;61.0;65.0;39.0;42.0
50;1;84;Boyeux-Saint-Jérôme;104.0;111.0;29.0;32.0
51;1;84;Boz;86.0;91.0;43.0;47.0
52;1;84;Brégnier-Cordon;94.0;100.0;40.0;44.0
53;1;84;Brénaz;136.0;146.0;48.0;53.0
54;1;84;Brénod;113.0;122.0;46.0;50.0
55;1;84;Brens;79.0;84.0;40.0;43.0
56;1;84;Bressolles;73.0;78.0;45.0;49.0
57;1;84;Brion;123.0;131.0;36.0;39.0
58;1;84;Briord;82.0;86.0;48.0;52.0
59;1;84;Buellas;86.0;92.0;42.0;46.0
60;1;84;La Burbanche;122.0;130.0;40.0;43.0
61;1;84;Ceignes;80.0;84.0;39.0;42.0
62;1;84;Cerdon;109.0;116.0;38.0;42.0
63;1;84;Certines;68.0;73.0;48.0;52.0
64;1;84;Cessy;47.0;50.0;47.0;51.0
65;1;84;Ceyzériat;95.0;102.0;40.0;43.0
66;1;84;Ceyzérieu;102.0;110.0;31.0;34.0
67;1;84;Chalamont;101.0;108.0;44.0;48.0
68;1;84;Chaleins;70.0;74.0;50.0;55.0
69;1;84;Chaley;174.0;186.0;33.0;35.0
70;1;84;Challes-la-Montagne;82.0;89.0;29.0;32.0
71;1;84;Challex;79.0;84.0;41.0;44.0
72;1;84;Champagne-en-Valromey;129.0;140.0;32.0;35.0
73;1;84;Champdor-Corcelles;106.0;113.0;36.0;39.0
74;1;84;Champfromier;92.0;98.0;42.0;46.0
75;1;84;Chanay;64.0;68.0;58.0;63.0
76;1;84;Chaneins;80.0;85.0;44.0;47.0
77;1;84;Chanoz-Châtenay;84.0;89.0;42.0;45.0
78;1;84;La Chapelle-du-Châtelard;76.0;81.0;34.0;37.0
79;1;84;Charix;94.0;101.0;43.0;46.0
80;1;84;Charnoz-sur-Ain;64.0;68.0;47.0;52.0
81;1;84;Château-Gaillard;83.0;88.0;45.0;48.0
82;1;84;Châtenay;97.0;104.0;36.0;39.0
83;1;84;Châtillon-en-Michaille;76.0;80.0;47.0;52.0
84;1;84;Châtillon-la-Palud;92.0;97.0;37.0;41.0
85;1;84;Châtillon-sur-Chalaronne;140.0;150.0;45.0;49.0
86;1;84;Chavannes-sur-Reyssouze;110.0;117.0;36.0;39.0
87;1;84;Nivigne et Suran;83.0;88.0;42.0;46.0
88;1;84;Chaveyriat;83.0;89.0;44.0;48.0
89;1;84;Chavornay;109.0;116.0;38.0;41.0
90;1;84;Chazey-Bons;105.0;111.0;41.0;45.0
91;1;84;Chazey-sur-Ain;78.0;83.0;42.0;46.0
92;1;84;Cheignieu-la-Balme;148.0;157.0;24.0;26.0
93;1;84;Chevillard;85.0;90.0;49.0;53.0
94;1;84;Chevroux;83.0;87.0;36.0;40.0
95;1;84;Chevry;55.0;58.0;46.0;49.0
96;1;84;Chézery-Forens;87.0;93.0;49.0;53.0
97;1;84;Civrieux;73.0;77.0;51.0;56.0
98;1;84;Cize;123.0;131.0;28.0;30.0
99;1;84;Cleyzieu;110.0;117.0;29.0;32.0
100;1;84;Coligny;149.0;160.0;36.0;39.0
101;1;84;Collonges;58.0;61.0;45.0;49.0
102;1;84;Colomieu;139.0;147.0;24.0;26.0
103;1;84;Conand;80.0;85.0;33.0;36.0
104;1;84;Condamine;71.0;75.0;39.0;43.0
105;1;84;Condeissiat;99.0;104.0;43.0;47.0
106;1;84;Confort;122.0;131.0;32.0;35.0
107;1;84;Confrançon;73.0;77.0;50.0;54.0
108;1;84;Contrevoz;118.0;126.0;36.0;39.0
109;1;84;Conzieu;61.0;65.0;33.0;35.0
110;1;84;Corbonod;114.0;121.0;34.0;37.0
111;1;84;Corlier;68.0;73.0;49.0;53.0
112;1;84;Cormaranche-en-Bugey;96.0;103.0;46.0;50.0
113;1;84;Cormoranche-sur-Saône;98.0;104.0;36.0;39.0
114;1;84;Cormoz;117.0;125.0;40.0;43.0
115;1;84;Corveissiat;90.0;96.0;44.0;48.0
116;1;84;Courmangoux;107.0;115.0;26.0;28.0
117;1;84;Courtes;103.0;109.0;50.0;54.0
